-41129794 28044809 39 134 24 Kaarel
-41352183 27734479 38 156 24 Kaarel
-41485242 27348027 43 167 24 Kaarel
-41587337 26910976 46 172 24 Kaarel
-41619467 26423424 51 182 24 Kaarel
-41622937 25883658 56 181 24 Kaarel
-41634216 25299370 60 180 24 Kaarel
-41647457 24675413 63 181 24 Kaarel
-41656004 24027508 66 181 24 Kaarel
-41661842 23342843 70 181 24 Kaarel
-41664999 22620456 74 181 24 Kaarel
-41634705 21864793 77 189 24 Kaarel
-41525698 21087387 79 195 24 Kaarel
-41307552 20311091 81 202 24 Kaarel
-41001082 19552584 82 211 24 Kaarel
-40582854 18833464 84 218 24 Kaarel
-40066232 18159540 85 228 24 Kaarel
-39443757 17566106 86 236 24 Kaarel
-38730067 17068381 87 244 24 Kaarel
-37949763 16642692 90 246 24 Kaarel
-37133162 16238719 92 247 24 Kaarel
-36282385 15859530 94 253 24 Kaarel
-35393154 15527623 95 249 24 Kaarel
-34496065 15164419 97 250 24 Kaarel
-33579458 14793778 99 251 24 Kaarel
-32647206 14420402 100 250 24 Kaarel
-31706981 14033904 102 250 24 Kaarel
-30749617 13636810 104 250 24 Kaarel
-29780120 13238803 102 250 24 Kaarel
-28889284 12878099 89 250 24 Kaarel
-28087651 12564704 84 253 24 Kaarel
-27283294 12325338 83 261 24 Kaarel
-26475927 12202043 81 275 24 Kaarel
-25651389 12212816 84 277 24 Kaarel
-24801824 12296279 86 285 24 Kaarel
-23935834 12465085 89 286 24 Kaarel
-23046529 12680439 93 289 24 Kaarel
-22133289 12935673 96 288 24 Kaarel
-21185778 13195422 100 288 24 Kaarel
-20208666 13452636 102 287 24 Kaarel
-19200352 13713265 105 287 24 Kaarel
-18154840 13949686 108 284 24 Kaarel
-17114314 14167649 102 285 24 Kaarel
-16179667 14371575 89 285 24 Kaarel
-15366534 14550821 78 285 24 Kaarel
-14665678 14734145 67 293 24 Kaarel
-14041785 14973772 64 295 24 Kaarel
-13512107 15212081 51 302 24 Kaarel
-13109667 15445175 41 309 24 Kaarel
-12830046 15653264 28 312 24 Kaarel
-12611260 15830789 27 312 24 Kaarel
-12396739 16006149 27 312 24 Kaarel
-12185957 16179349 27 313 24 Kaarel
-11975204 16342781 26 310 24 Kaarel
-11769591 16500119 25 310 24 Kaarel
