30605103 -35570134 542846 70 304 11 Kaarel
31150838 -35215843 542804 70 314 11 Kaarel
31622758 -34781108 542795 70 323 11 Kaarel
32031915 -34270438 542852 70 331 11 Kaarel
32369892 -33699351 538634 70 338 11 Kaarel
32656019 -33101766 538314 70 339 11 Kaarel
32948495 -32503939 537505 70 335 11 Kaarel
33273799 -31906047 538211 70 333 11 Kaarel
33629438 -31293154 540432 75 332 11 Kaarel
34009983 -30658703 543664 85 332 11 Kaarel
34409841 -29990726 553853 85 333 11 Kaarel
34817652 -29289787 568468 85 334 11 Kaarel
35209700 -28579974 587641 85 336 11 Kaarel
35564604 -27870107 607223 85 339 11 Kaarel
35866225 -27155282 628001 85 344 11 Kaarel
36083266 -26432204 648992 85 354 11 Kaarel
36178648 -25707409 670559 85 0 11 Kaarel
36155404 -24975982 689268 85 8 11 Kaarel
36013873 -24250211 711233 85 19 11 Kaarel
35753217 -23555161 735442 85 27 11 Kaarel
35400395 -22877422 756986 90 30 11 Kaarel
35000032 -22187038 777433 90 31 11 Kaarel
34578566 -21483351 797510 100 31 11 Kaarel
34144756 -20755955 816508 100 30 11 Kaarel
33714717 -19990897 833131 100 27 11 Kaarel
33311997 -19183489 845671 100 24 11 Kaarel
32946111 -18329338 857573 100 20 11 Kaarel
32633130 -17427516 877687 100 15 11 Kaarel
32384612 -16482383 899644 100 11 11 Kaarel
32185284 -15503051 913178 100 9 11 Kaarel
32017277 -14503294 916201 100 8 11 Kaarel
31867413 -13478639 912540 100 7 11 Kaarel
31727722 -12464612 900745 100 7 11 Kaarel
31597065 -11506388 878230 100 8 11 Kaarel
31454864 -10595066 854225 95 10 11 Kaarel
31293951 -9723586 829663 95 10 11 Kaarel
31126191 -8909557 804873 95 13 11 Kaarel
30906775 -8130098 781529 95 21 11 Kaarel
30608873 -7390768 764779 95 26 11 Kaarel
30232543 -6703509 755614 95 35 11 Kaarel
29766764 -6079163 754138 95 43 11 Kaarel
29212712 -5521538 750841 95 52 11 Kaarel
28579166 -5039073 739891 95 59 11 Kaarel
27892916 -4646857 722177 95 67 11 Kaarel
27178948 -4340352 699176 95 71 11 Kaarel
26454785 -4065154 670224 95 69 11 Kaarel
25711944 -3761133 636538 95 66 11 Kaarel
24950745 -3413286 605794 100 64 11 Kaarel
24195863 -3023766 575622 100 60 11 Kaarel
23481443 -2586093 549033 100 54 11 Kaarel
22812158 -2085314 525874 100 49 11 Kaarel
